Date,Name,holidays
2020-09-06,Elcano's Day,1
2020-09-08,Day of Asturias,1
2020-09-08,Day of Extremadura,1
2020-09-08,Virgin of the Victory,1
2020-09-11,National Day of Catalonia,1
2020-09-15,Nuestra Señora de la Bien Aparecida,1
2020-09-17,Day of Melilla,1
2020-09-22,September Equinox,1
2020-10-09,Day of the Valencian Community,1
2020-10-12,Hispanic Day,1
2020-10-25,Daylight Saving Time ends,1
2020-11-01,All Saints' Day,1
2020-11-02,All Saint's Day Holiday,1
2020-12-03,Day of Navarre,1
2020-12-06,Constitution Day,1
2020-12-07,Constitution Day Holiday,1
2020-12-08,Immaculate Conception,1
2020-12-21,December Solstice,1
2020-12-24,Christmas Eve,1
2020-12-25,Christmas Day,1
2020-12-26,St Stephen's Day,1
2020-12-27,Feast of the Holy Family,1
2020-12-31,New Year's Eve,1
2021-01-01,New Year's Day,1
2021-01-02,Reconquest Day,1
2021-01-06,Epiphany,1
2021-02-14,Valentine's Day,1
2021-02-15,Carnival Monday,1
2021-02-16,Carnival Tuesday,1
2021-02-17,Ash Wednesday,1
2021-02-28,Day of Andalucía,1
2021-03-01,Day off for Day of Andalucía,1
2021-03-01,Day of the Balearic Islands,1
2021-03-13,Statute of the Autonomous City of Melilla Day,1
2021-03-19,Fathers' Day,1
2021-03-19,San Jose,1
2021-03-19,San Jose,1
2021-03-20,March Equinox,1
2021-03-28,Palm Sunday,1
2021-03-28,Daylight Saving Time starts,1
2021-04-01,Maundy Thursday,1
2021-04-01,Maundy Thursday,1
2021-04-02,Good Friday,1
2021-04-03,Holy Saturday,1
2021-04-04,Easter Sunday,1
2021-04-05,Easter Monday,1
2021-04-05,Easter Monday,1
2021-04-23,Day of Aragón,1
2021-04-23,St George's Day,1
2021-04-23,Castile and León Day,1
2021-05-01,Labor Day / May Day,1
2021-05-02,Mothers' Day,1
2021-05-03,Day of Madrid,1
2021-05-13,Eid al-Fitr,1
2021-05-17,Galicia Literature Day,1
2021-05-23,Whit Sunday/Pentecost,1
2021-05-24,Whit Monday,1
2021-05-31,Day of Castile-La Mancha,1
2021-06-03,Corpus Christi,1
2021-06-03,Corpus Christi,1
2021-06-09,Day of Murcia,1
2021-06-09,Day of La Rioja,1
2021-06-13,San Antonio,1
2021-06-14,Day off for San Antonio,1
2021-06-21,June Solstice,1
2021-06-24,Saint John the Baptist Day,1
2021-06-24,Saint John the Baptist Day,1
2021-07-21,Eid al-Adha,1
2021-07-25,Feast of Saint James the Apostle,1
2021-07-28,Day of the Institutions,1
2021-08-05,The Day of Our Lady of Africa,1
2021-08-08,The Day of Cantabria,1
2021-08-15,Assumption of Mary,1
2021-08-15,Assumption of Mary,1
2021-08-16,Day off for Assumption of Mary,1
2021-09-02,Day of the Independent City of Ceuta,1
2021-09-06,Elcano's Day,1
2021-09-08,Day of Asturias,1
2021-09-08,Day of Extremadura,1
2021-09-08,Virgin of the Victory,1
2021-09-11,National Day of Catalonia,1
2021-09-15,Nuestra Señora de la Bien Aparecida,1
